🇨🇳 央视,#genre#
CCTV1,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000152
CCTV2,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000477
CCTV3,http://10.255.126.3:8006/AHBKLIVE/11111120220816000000000000000001
CCTV4,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000573
CCTV5,http://10.255.126.3:8006/AHBKLIVE/11111120220816000000000000000003
CCTV5+,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000153
CCTV6,http://10.255.126.3:8006/AHBKLIVE/11111120220816000000000000000005
CCTV7,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000485
CCTV8,http://10.255.126.3:8006/AHBKLIVE/11111120220816000000000000000007
CCTV9,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000478
CCTV10,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000480
CCTV11,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000583
CCTV12,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000482
CCTV13,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000602
CCTV14,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000483
CCTV15,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000587
CCTV16,http://10.255.126.3:8006/AHBKLIVE/11111120211027000000000000000007
CCTV17,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000580

🇨🇳 卫视,#genre#
安徽卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000039
浙江卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000265
东方卫视,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000263
北京卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000194
湖南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000195
四川卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000069
甘肃卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000094
深圳卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000197
江西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000065
贵州卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000577
宁夏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000082
东南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000075
重庆卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000083
河南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000085
广西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000086
陕西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000090
海南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000088
吉林卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000091
新疆卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000097
青海卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000096
